idiom,num_contexts,contexts
Romper una lanza en favor de alguien,0,
Romperle el corazón a alguien,0,
Romperse la cabeza,0,
Romperse los cuernos,0,
Sabe más que los ratones colorados,0,
Saber a ciencia cierta,0,
Saber de buena tinta,0,
Saber de qué pie cojea,0,
Saber dónde le aprieta el zapato,0,
Sacar a relucir,0,
Sacar de quicio,0,
Sacar de sus cabales a alguien,0,
Sacar el agua clara,0,
Sacar fuerzas de flaqueza,0,
Sacar las castañas del fuego,0,
Sacar las garras,0,
Sacar las uñas,0,
Sacar los colores,0,
Sacar los dientes,0,
Sacar partido,0,
Sacar pecho,0,
Sacar punta,0,
Sacar tajada,0,
Sacarle el jugo a alguien,0,
Sacarse la venda de los ojos,0,
Salir a flote,0,
Salir a la palestra,0,
Salir a pedir de boca,0,
Salir con los pies por delante,0,
Salir de marcha,0,
Salir del armario,0,
Salir del fuego para caer en las brasas,0,
Salir del nido,0,
Salir el tiro por la culata,0,
Salir pitando,0,
Salir por la puerta de atrás,0,
Salir por patas,0,
Salirse de madre,0,
Salirse por la tangente,0,
Saltar al vacío,0,
Saltar todas las alarmas,0,
Saltarse algo a la torera,0,
Salvar el pellejo,0,
Se le ve el plumero,0,
Seguir al rebaño,0,
Seguir en sus trece,0,
Seguir la corriente,0,
Sembrar cizaña,0,
Sembrar discordia,0,
Sembrar la duda,0,
Sentar a alguien en el banquillo,0,
Sentar la cabeza,0,
Sentar las bases,0,
Sentirse como pez en el agua,0,
Separar el grano de la paja,0,
Ser abogado del diablo,0,
Ser agua pasada,0,
Ser animal de costumbres,0,
Ser calcado a alguien,0,
Ser canela fina,0,
Ser carne de cañón,0,
Ser como dos gotas de agua,0,
Ser conejillo de indias,0,
Ser corto de miras,0,
Ser coser y cantar,0,
Ser cuatro gatos,0,
Ser culo de mal asiento,0,
Ser de la virgen del puño,0,
Ser de mírame y no me toques,0,
Ser del año de la pera,0,
Ser del año del hambre,0,
Ser el alma de la fiesta,0,
Ser el brazo derecho de alguien,0,
Ser el chivo expiatorio,0,
Ser el ojito derecho,0,
